Sample	Tissue
GTEX.13FXS.0011.R11a.SM.5L3DM	Brain
GTEX.13G51.0011.R11b.SM.5J2NE	Brain
GTEX.13JUV.0011.R11a.SM.5LZYH	Brain
GTEX.13JVG.0011.R11a.SM.5KM53	Brain
GTEX.13N2G.0011.R11a.SM.5MR3F	Brain
GTEX.13NYB.0011.R11a.SM.5KM3Q	Brain
GTEX.13NYS.0011.R11b.SM.5MR4P	Brain
GTEX.13NZA.0011.R11b.SM.5KM4W	Brain
GTEX.13O3O.0011.R11b.SM.5KM4G	Brain
GTEX.13O3Q.0011.R11b.SM.5KM2W	Brain
GTEX.13OVH.0011.R11b.SM.5KM4X	Brain
GTEX.13RTJ.0011.R11a.SM.5O9CK	Brain
GTEX.13S7M.0011.R11b.SM.5P9HU	Brain
GTEX.13SLW.0011.R11a.SM.5SI8Q	Brain
GTEX.13SLX.0011.R11b.SM.5O9C8	Brain
GTEX.13VXU.0011.R11b.SM.5O9DJ	Brain
GTEX.13X6I.0011.R11a.SM.5P9HN	Brain
GTEX.13X6J.0011.R11a.SM.5P9HE	Brain
GTEX.13X6K.0011.R11a.SM.5P9F5	Brain
GTEX.144GL.0011.R11b.SM.5P9F6	Brain
GTEX.145LU.0011.R11b.SM.5P9JX	Brain
GTEX.11NV4.2226.SM.5BC4T	Brain
GTEX.11O72.2826.SM.5HL6W	Brain
GTEX.11OC5.0626.SM.5HL6M	Brain
GTEX.11ONC.3026.SM.5985W	Brain
GTEX.11PRG.2826.SM.5BC54	Brain
GTEX.11TTK.2826.SM.5GU5K	Brain
GTEX.1269C.3126.SM.5EGI6	Brain
GTEX.12WSM.2126.SM.5GCOC	Brain
GTEX.12ZZX.2826.SM.5BC6K	Brain
GTEX.1313W.3026.SM.5LZUZ	Brain
GTEX.131XH.2926.SM.5LZU4	Brain
GTEX.139TS.3126.SM.5LZWX	Brain
GTEX.139TT.2626.SM.5LZUB	Brain
GTEX.13CF2.3026.SM.5IFFX	Brain
GTEX.13FHO.2926.SM.5L3ES	Brain
GTEX.13FHP.2926.SM.5IJG9	Brain
GTEX.13FXS.3026.SM.5LZYO	Brain
GTEX.13G51.3126.SM.5IJG7	Brain
GTEX.13JUV.3026.SM.5K7WX	Brain
GTEX.13JVG.3226.SM.5IJGJ	Brain
GTEX.13N2G.3126.SM.5IJGL	Brain
GTEX.13NYB.3226.SM.5J2ND	Brain
GTEX.13O3O.3026.SM.5KM42	Brain
GTEX.13O3Q.3026.SM.5IJGD	Brain
GTEX.13RTJ.3126.SM.5S2Q4	Brain
GTEX.13S7M.3026.SM.5S2QQ	Brain
GTEX.13SLX.3226.SM.5YYA6	Brain
GTEX.13VXU.3026.SM.5LU3K	Brain
GTEX.13X6I.2926.SM.5Q5C3	Brain
GTEX.13X6J.2926.SM.7EPGP	Brain
GTEX.13X6K.2826.SM.5O9DS	Brain
GTEX.144GL.2926.SM.5O99F	Brain
GTEX.145LS.3026.SM.5O99S	Brain
GTEX.145LU.2626.SM.5LU9Z	Brain
GTEX.1117F.3226.SM.5N9CT	Brain
GTEX.11NV4.2126.SM.5N9DS	Brain
GTEX.11O72.2926.SM.5BC4V	Brain
GTEX.11OC5.0726.SM.5P9JK	Brain
GTEX.11ONC.2926.SM.5P9JM	Brain
GTEX.11PRG.2926.SM.5987A	Brain
GTEX.11TTK.2926.SM.5PNYP	Brain
GTEX.12ZZW.2926.SM.5LZUP	Brain
GTEX.12ZZX.2926.SM.5GCOQ	Brain
GTEX.1313W.3126.SM.5LZUI	Brain
GTEX.131XW.3126.SM.5LZUC	Brain
GTEX.139T8.1026.SM.5J2MC	Brain
GTEX.13FHO.3026.SM.5J1O9	Brain
